age_struct,bedrooms,BLD_label,gross_rent,num_persons,move_in,HHT_label
43,2,10-19 Apartments,1460,2,3,Nonfamily household: Female householder: Not living alone
43,2,10-19 Apartments,1460,2,3,Nonfamily household: Female householder: Not living alone
100,3,3-4 Apartments,790,1,15,Nonfamily household: Female householder: Living alone
100,1,3-4 Apartments,980,1,3,Nonfamily household: Female householder: Living alone
100,2,2 Apartments,1380,2,2,"Other family household: Male householder, no spouse present"
100,2,2 Apartments,1380,2,2,"Other family household: Male householder, no spouse present"
73,4,One-family house detached,3110,4,2,Nonfamily household: Male householder: Not living alone
73,4,One-family house detached,3110,4,2,Nonfamily household: Male householder: Not living alone
73,4,One-family house detached,3110,4,2,Nonfamily household: Male householder: Not living alone
73,4,One-family house detached,3110,4,2,Nonfamily household: Male householder: Not living alone
73,4,3-4 Apartments,980,5,1,Nonfamily household: Male householder: Not living alone
73,4,3-4 Apartments,980,5,1,Nonfamily household: Male householder: Not living alone
73,4,3-4 Apartments,980,5,1,Nonfamily household: Male householder: Not living alone
73,4,3-4 Apartments,980,5,1,Nonfamily household: Male householder: Not living alone
73,4,3-4 Apartments,980,5,1,Nonfamily household: Male householder: Not living alone
14,0,50 or more apartments,1550,1,1,Nonfamily household: Female householder: Living alone
100,3,3-4 Apartments,1300,1,1,Nonfamily household: Female householder: Living alone
63,2,3-4 Apartments,938,2,3,Married couple household
63,2,3-4 Apartments,938,2,3,Married couple household
14,5,One-family house detached,1143,6,15,"Other family household: Female householder, no spouse present"
14,5,One-family house detached,1143,6,15,"Other family household: Female householder, no spouse present"
14,5,One-family house detached,1143,6,15,"Other family household: Female householder, no spouse present"
14,5,One-family house detached,1143,6,15,"Other family household: Female householder, no spouse present"
14,5,One-family house detached,1143,6,15,"Other family household: Female householder, no spouse present"
14,5,One-family house detached,1143,6,15,"Other family household: Female householder, no spouse present"
5,2,50 or more apartments,2540,4,1,"Other family household: Female householder, no spouse present"
5,2,50 or more apartments,2540,4,1,"Other family household: Female householder, no spouse present"
5,2,50 or more apartments,2540,4,1,"Other family household: Female householder, no spouse present"
5,2,50 or more apartments,2540,4,1,"Other family household: Female householder, no spouse present"
100,2,5-9 Apartments,1130,3,3,"Other family household: Female householder, no spouse present"
100,2,5-9 Apartments,1130,3,3,"Other family household: Female householder, no spouse present"
100,2,5-9 Apartments,1130,3,3,"Other family household: Female householder, no spouse present"
100,3,One-family house attached,2630,4,1,Married couple household
100,3,One-family house attached,2630,4,1,Married couple household
100,3,One-family house attached,2630,4,1,Married couple household
100,3,One-family house attached,2630,4,1,Married couple household
53,2,2 Apartments,2960,2,1,Nonfamily household: Female householder: Not living alone
53,2,2 Apartments,2960,2,1,Nonfamily household: Female householder: Not living alone
4,2,5-9 Apartments,2972,2,1,Married couple household
4,2,5-9 Apartments,2972,2,1,Married couple household
53,3,2 Apartments,550,1,30,Nonfamily household: Female householder: Living alone
100,2,3-4 Apartments,2060,3,1,Nonfamily household: Female householder: Not living alone
100,2,3-4 Apartments,2060,3,1,Nonfamily household: Female householder: Not living alone
100,2,3-4 Apartments,2060,3,1,Nonfamily household: Female householder: Not living alone
43,3,One-family house attached,1680,4,15,Married couple household
43,3,One-family house attached,1680,4,15,Married couple household
43,3,One-family house attached,1680,4,15,Married couple household
43,3,One-family house attached,1680,4,15,Married couple household
53,3,One-family house detached,1200,1,3,Nonfamily household: Male householder: Living alone
6,3,One-family house attached,1960,2,3,Married couple household
6,3,One-family house attached,1960,2,3,Married couple household
43,2,50 or more apartments,1400,4,7,Married couple household
43,2,50 or more apartments,1400,4,7,Married couple household
43,2,50 or more apartments,1400,4,7,Married couple household
43,2,50 or more apartments,1400,4,7,Married couple household
100,2,5-9 Apartments,1200,5,3,Married couple household
100,2,5-9 Apartments,1200,5,3,Married couple household
100,2,5-9 Apartments,1200,5,3,Married couple household
100,2,5-9 Apartments,1200,5,3,Married couple household
100,2,5-9 Apartments,1200,5,3,Married couple household
53,2,20-49 Apartments,1680,2,1,Married couple household
53,2,20-49 Apartments,1680,2,1,Married couple household
63,2,One-family house detached,1818,3,3,Married couple household
63,2,One-family house detached,1818,3,3,Married couple household
63,2,One-family house detached,1818,3,3,Married couple household
23,1,10-19 Apartments,1520,1,1,Nonfamily household: Male householder: Living alone
53,2,5-9 Apartments,1400,3,3,Married couple household
53,2,5-9 Apartments,1400,3,3,Married couple household
53,2,5-9 Apartments,1400,3,3,Married couple household
43,2,50 or more apartments,340,2,15,Married couple household
43,2,50 or more apartments,340,2,15,Married couple household
23,2,50 or more apartments,3317,3,2,"Other family household: Female householder, no spouse present"
23,2,50 or more apartments,3317,3,2,"Other family household: Female householder, no spouse present"
23,2,50 or more apartments,3317,3,2,"Other family household: Female householder, no spouse present"
53,1,50 or more apartments,270,1,15,Nonfamily household: Female householder: Living alone
63,2,3-4 Apartments,1560,2,1,Nonfamily household: Female householder: Not living alone
63,2,3-4 Apartments,1560,2,1,Nonfamily household: Female householder: Not living alone
100,2,5-9 Apartments,1140,5,1,Married couple household
100,2,5-9 Apartments,1140,5,1,Married couple household
100,2,5-9 Apartments,1140,5,1,Married couple household
100,2,5-9 Apartments,1140,5,1,Married couple household
100,2,5-9 Apartments,1140,5,1,Married couple household
73,3,2 Apartments,2480,2,2,Nonfamily household: Female householder: Not living alone
73,3,2 Apartments,2480,2,2,Nonfamily household: Female householder: Not living alone
100,0,50 or more apartments,1650,1,3,Nonfamily household: Female householder: Living alone
53,0,50 or more apartments,350,1,3,Nonfamily household: Male householder: Living alone
100,2,2 Apartments,2760,3,3,"Other family household: Female householder, no spouse present"
100,2,2 Apartments,2760,3,3,"Other family household: Female householder, no spouse present"
100,2,2 Apartments,2760,3,3,"Other family household: Female householder, no spouse present"
43,4,One-family house detached,500,2,3,Nonfamily household: Female householder: Not living alone
43,4,One-family house detached,500,2,3,Nonfamily household: Female householder: Not living alone
100,1,50 or more apartments,450,2,3,Married couple household
100,1,50 or more apartments,450,2,3,Married couple household
100,2,3-4 Apartments,1970,2,7,Married couple household
100,2,3-4 Apartments,1970,2,7,Married couple household
10,2,50 or more apartments,2360,6,3,Married couple household
10,2,50 or more apartments,2360,6,3,Married couple household
10,2,50 or more apartments,2360,6,3,Married couple household
10,2,50 or more apartments,2360,6,3,Married couple household
10,2,50 or more apartments,2360,6,3,Married couple household
10,2,50 or more apartments,2360,6,3,Married couple household
100,2,20-49 Apartments,1450,4,3,Nonfamily household: Male householder: Not living alone
100,2,20-49 Apartments,1450,4,3,Nonfamily household: Male householder: Not living alone
100,2,20-49 Apartments,1450,4,3,Nonfamily household: Male householder: Not living alone
100,2,20-49 Apartments,1450,4,3,Nonfamily household: Male householder: Not living alone
43,2,10-19 Apartments,1400,1,3,Nonfamily household: Female householder: Living alone
100,2,20-49 Apartments,2470,2,3,Nonfamily household: Female householder: Not living alone
100,2,20-49 Apartments,2470,2,3,Nonfamily household: Female householder: Not living alone
63,1,10-19 Apartments,2050,2,2,Nonfamily household: Female householder: Not living alone
63,1,10-19 Apartments,2050,2,2,Nonfamily household: Female householder: Not living alone
33,1,20-49 Apartments,340,1,1,Nonfamily household: Female householder: Living alone
73,3,One-family house detached,1220,4,15,Married couple household
73,3,One-family house detached,1220,4,15,Married couple household
73,3,One-family house detached,1220,4,15,Married couple household
73,3,One-family house detached,1220,4,15,Married couple household
100,2,2 Apartments,1623,2,15,Married couple household
100,2,2 Apartments,1623,2,15,Married couple household
63,2,One-family house detached,1810,3,3,Married couple household
63,2,One-family house detached,1810,3,3,Married couple household
63,2,One-family house detached,1810,3,3,Married couple household
63,4,One-family house attached,2100,3,1,Married couple household
63,4,One-family house attached,2100,3,1,Married couple household
63,4,One-family house attached,2100,3,1,Married couple household
73,2,3-4 Apartments,970,1,2,Nonfamily household: Female householder: Living alone
100,2,2 Apartments,2520,3,3,Married couple household
100,2,2 Apartments,2520,3,3,Married couple household
100,2,2 Apartments,2520,3,3,Married couple household
43,2,One-family house attached,2700,1,3,Nonfamily household: Male householder: Living alone
100,3,2 Apartments,3913,6,7,"Other family household: Female householder, no spouse present"
100,3,2 Apartments,3913,6,7,"Other family household: Female householder, no spouse present"
100,3,2 Apartments,3913,6,7,"Other family household: Female householder, no spouse present"
100,3,2 Apartments,3913,6,7,"Other family household: Female householder, no spouse present"
100,3,2 Apartments,3913,6,7,"Other family household: Female householder, no spouse present"
100,3,2 Apartments,3913,6,7,"Other family household: Female householder, no spouse present"
100,4,3-4 Apartments,1010,6,2,"Other family household: Female householder, no spouse present"
100,4,3-4 Apartments,1010,6,2,"Other family household: Female householder, no spouse present"
100,4,3-4 Apartments,1010,6,2,"Other family household: Female householder, no spouse present"
100,4,3-4 Apartments,1010,6,2,"Other family household: Female householder, no spouse present"
100,4,3-4 Apartments,1010,6,2,"Other family household: Female householder, no spouse present"
100,4,3-4 Apartments,1010,6,2,"Other family household: Female householder, no spouse present"
53,1,2 Apartments,980,2,2,Married couple household
53,1,2 Apartments,980,2,2,Married couple household
100,1,5-9 Apartments,680,1,15,Nonfamily household: Male householder: Living alone
53,1,3-4 Apartments,720,1,7,Nonfamily household: Female householder: Living alone
43,1,5-9 Apartments,840,1,3,Nonfamily household: Male householder: Living alone
63,3,One-family house detached,2020,3,1,Nonfamily household: Male householder: Not living alone
63,3,One-family house detached,2020,3,1,Nonfamily household: Male householder: Not living alone
63,3,One-family house detached,2020,3,1,Nonfamily household: Male householder: Not living alone
43,1,50 or more apartments,620,1,2,Nonfamily household: Male householder: Living alone
100,3,One-family house detached,1116,1,25,Nonfamily household: Male householder: Living alone
73,0,10-19 Apartments,2244,2,1,Nonfamily household: Male householder: Not living alone
73,0,10-19 Apartments,2244,2,1,Nonfamily household: Male householder: Not living alone
100,2,3-4 Apartments,970,1,3,Nonfamily household: Female householder: Living alone
100,1,10-19 Apartments,1220,1,7,Nonfamily household: Male householder: Living alone
33,3,3-4 Apartments,1700,3,7,"Other family household: Female householder, no spouse present"
33,3,3-4 Apartments,1700,3,7,"Other family household: Female householder, no spouse present"
33,3,3-4 Apartments,1700,3,7,"Other family household: Female householder, no spouse present"
6,0,50 or more apartments,2207,1,2,Nonfamily household: Male householder: Living alone
100,2,10-19 Apartments,1000,6,7,Married couple household
100,2,10-19 Apartments,1000,6,7,Married couple household
100,2,10-19 Apartments,1000,6,7,Married couple household
100,2,10-19 Apartments,1000,6,7,Married couple household
100,2,10-19 Apartments,1000,6,7,Married couple household
100,2,10-19 Apartments,1000,6,7,Married couple household
33,2,20-49 Apartments,2060,1,1,Nonfamily household: Female householder: Living alone
43,1,10-19 Apartments,1410,3,1,Married couple household
43,1,10-19 Apartments,1410,3,1,Married couple household
43,1,10-19 Apartments,1410,3,1,Married couple household
43,1,3-4 Apartments,250,1,1,Nonfamily household: Female householder: Living alone
73,2,5-9 Apartments,790,1,7,Nonfamily household: Male householder: Living alone
100,2,2 Apartments,1933,1,3,Nonfamily household: Female householder: Living alone
23,2,3-4 Apartments,1160,5,7,Married couple household
23,2,3-4 Apartments,1160,5,7,Married couple household
23,2,3-4 Apartments,1160,5,7,Married couple household
23,2,3-4 Apartments,1160,5,7,Married couple household
23,2,3-4 Apartments,1160,5,7,Married couple household
3,2,20-49 Apartments,2203,2,1,Nonfamily household: Male householder: Not living alone
3,2,20-49 Apartments,2203,2,1,Nonfamily household: Male householder: Not living alone
43,1,3-4 Apartments,1200,1,1,Nonfamily household: Male householder: Living alone
23,3,3-4 Apartments,2800,3,1,Nonfamily household: Male householder: Not living alone
23,3,3-4 Apartments,2800,3,1,Nonfamily household: Male householder: Not living alone
23,3,3-4 Apartments,2800,3,1,Nonfamily household: Male householder: Not living alone
16,1,10-19 Apartments,254,1,15,Nonfamily household: Male householder: Living alone
100,2,2 Apartments,580,5,7,Nonfamily household: Female householder: Not living alone
100,2,2 Apartments,580,5,7,Nonfamily household: Female householder: Not living alone
100,2,2 Apartments,580,5,7,Nonfamily household: Female householder: Not living alone
100,2,2 Apartments,580,5,7,Nonfamily household: Female householder: Not living alone
100,2,2 Apartments,580,5,7,Nonfamily household: Female householder: Not living alone
100,0,50 or more apartments,550,1,3,Nonfamily household: Female householder: Living alone
63,3,One-family house detached,408,1,30,Nonfamily household: Female householder: Living alone
100,2,3-4 Apartments,2080,2,1,Married couple household
100,2,3-4 Apartments,2080,2,1,Married couple household
33,4,One-family house detached,1890,1,3,Nonfamily household: Female householder: Living alone
100,3,5-9 Apartments,110,1,15,Nonfamily household: Female householder: Living alone
100,2,2 Apartments,1500,2,3,Married couple household
100,2,2 Apartments,1500,2,3,Married couple household
23,2,50 or more apartments,2062,2,3,Married couple household
23,2,50 or more apartments,2062,2,3,Married couple household
100,1,20-49 Apartments,1030,1,15,Nonfamily household: Male householder: Living alone
12,3,3-4 Apartments,1450,5,7,"Other family household: Male householder, no spouse present"
12,3,3-4 Apartments,1450,5,7,"Other family household: Male householder, no spouse present"
12,3,3-4 Apartments,1450,5,7,"Other family household: Male householder, no spouse present"
12,3,3-4 Apartments,1450,5,7,"Other family household: Male householder, no spouse present"
12,3,3-4 Apartments,1450,5,7,"Other family household: Male householder, no spouse present"
53,1,5-9 Apartments,1170,1,3,Nonfamily household: Female householder: Living alone
53,1,20-49 Apartments,1620,1,3,Nonfamily household: Male householder: Living alone
23,2,One-family house attached,2690,2,1,Nonfamily household: Female householder: Not living alone
23,2,One-family house attached,2690,2,1,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,3900,2,3,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,3900,2,3,Nonfamily household: Female householder: Not living alone
63,2,5-9 Apartments,1270,2,15,"Other family household: Female householder, no spouse present"
63,2,5-9 Apartments,1270,2,15,"Other family household: Female householder, no spouse present"
33,2,One-family house attached,1240,3,3,Married couple household
33,2,One-family house attached,1240,3,3,Married couple household
33,2,One-family house attached,1240,3,3,Married couple household
43,3,3-4 Apartments,1950,3,3,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,1950,3,3,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,1950,3,3,Nonfamily household: Female householder: Not living alone
53,2,50 or more apartments,1460,1,1,Nonfamily household: Female householder: Living alone
100,4,2 Apartments,3362,4,1,Nonfamily household: Female householder: Not living alone
100,4,2 Apartments,3362,4,1,Nonfamily household: Female householder: Not living alone
100,4,2 Apartments,3362,4,1,Nonfamily household: Female householder: Not living alone
100,4,2 Apartments,3362,4,1,Nonfamily household: Female householder: Not living alone
43,1,10-19 Apartments,1360,1,2,Nonfamily household: Male householder: Living alone
100,2,2 Apartments,3930,4,2,Married couple household
100,2,2 Apartments,3930,4,2,Married couple household
100,2,2 Apartments,3930,4,2,Married couple household
100,2,2 Apartments,3930,4,2,Married couple household
100,2,5-9 Apartments,1150,3,7,Married couple household
100,2,5-9 Apartments,1150,3,7,Married couple household
100,2,5-9 Apartments,1150,3,7,Married couple household
63,3,3-4 Apartments,470,2,7,Nonfamily household: Female householder: Not living alone
63,3,3-4 Apartments,470,2,7,Nonfamily household: Female householder: Not living alone
100,0,10-19 Apartments,300,1,15,Nonfamily household: Male householder: Living alone
33,2,3-4 Apartments,2170,4,7,Nonfamily household: Male householder: Not living alone
33,2,3-4 Apartments,2170,4,7,Nonfamily household: Male householder: Not living alone
33,2,3-4 Apartments,2170,4,7,Nonfamily household: Male householder: Not living alone
33,2,3-4 Apartments,2170,4,7,Nonfamily household: Male householder: Not living alone
100,1,10-19 Apartments,1950,2,1,Nonfamily household: Male householder: Not living alone
100,1,10-19 Apartments,1950,2,1,Nonfamily household: Male householder: Not living alone
63,1,2 Apartments,770,1,7,Nonfamily household: Male householder: Living alone
100,0,20-49 Apartments,680,1,3,Nonfamily household: Male householder: Living alone
33,1,20-49 Apartments,240,1,3,Nonfamily household: Male householder: Living alone
16,3,One-family house attached,1290,3,3,"Other family household: Female householder, no spouse present"
16,3,One-family house attached,1290,3,3,"Other family household: Female householder, no spouse present"
16,3,One-family house attached,1290,3,3,"Other family household: Female householder, no spouse present"
100,2,3-4 Apartments,1950,2,1,"Other family household: Male householder, no spouse present"
100,2,3-4 Apartments,1950,2,1,"Other family household: Male householder, no spouse present"
53,1,50 or more apartments,600,1,15,Nonfamily household: Male householder: Living alone
100,1,One-family house detached,698,1,15,Nonfamily household: Female householder: Living alone
33,0,5-9 Apartments,880,1,1,Nonfamily household: Male householder: Living alone
13,3,One-family house detached,1600,3,3,"Other family household: Female householder, no spouse present"
13,3,One-family house detached,1600,3,3,"Other family household: Female householder, no spouse present"
13,3,One-family house detached,1600,3,3,"Other family household: Female householder, no spouse present"
100,2,2 Apartments,1690,3,7,Married couple household
100,2,2 Apartments,1690,3,7,Married couple household
100,2,2 Apartments,1690,3,7,Married couple household
33,3,One-family house attached,1590,5,1,Married couple household
33,3,One-family house attached,1590,5,1,Married couple household
33,3,One-family house attached,1590,5,1,Married couple household
33,3,One-family house attached,1590,5,1,Married couple household
33,3,One-family house attached,1590,5,1,Married couple household
33,2,2 Apartments,670,1,2,Nonfamily household: Female householder: Living alone
100,0,20-49 Apartments,890,1,3,Nonfamily household: Female householder: Living alone
43,1,5-9 Apartments,240,1,3,Nonfamily household: Female householder: Living alone
43,3,3-4 Apartments,3120,3,2,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,3120,3,2,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,3120,3,2,Nonfamily household: Female householder: Not living alone
43,2,50 or more apartments,1100,2,30,Married couple household
43,2,50 or more apartments,1100,2,30,Married couple household
100,2,2 Apartments,230,1,3,Nonfamily household: Female householder: Living alone
12,2,5-9 Apartments,3970,3,3,Married couple household
12,2,5-9 Apartments,3970,3,3,Married couple household
12,2,5-9 Apartments,3970,3,3,Married couple household
63,0,5-9 Apartments,1630,1,1,Nonfamily household: Male householder: Living alone
53,2,2 Apartments,2270,1,1,Nonfamily household: Male householder: Living alone
100,3,3-4 Apartments,1590,2,3,"Other family household: Male householder, no spouse present"
100,3,3-4 Apartments,1590,2,3,"Other family household: Male householder, no spouse present"
100,2,10-19 Apartments,1370,3,1,"Other family household: Female householder, no spouse present"
100,2,10-19 Apartments,1370,3,1,"Other family household: Female householder, no spouse present"
100,2,10-19 Apartments,1370,3,1,"Other family household: Female householder, no spouse present"
13,1,50 or more apartments,1220,3,2,Married couple household
13,1,50 or more apartments,1220,3,2,Married couple household
13,1,50 or more apartments,1220,3,2,Married couple household
100,1,20-49 Apartments,2100,2,2,Nonfamily household: Male householder: Not living alone
100,1,20-49 Apartments,2100,2,2,Nonfamily household: Male householder: Not living alone
100,2,2 Apartments,1620,2,15,"Other family household: Female householder, no spouse present"
100,2,2 Apartments,1620,2,15,"Other family household: Female householder, no spouse present"
43,2,3-4 Apartments,1030,3,7,Married couple household
43,2,3-4 Apartments,1030,3,7,Married couple household
43,2,3-4 Apartments,1030,3,7,Married couple household
100,2,10-19 Apartments,2070,4,1,"Other family household: Male householder, no spouse present"
100,2,10-19 Apartments,2070,4,1,"Other family household: Male householder, no spouse present"
100,2,10-19 Apartments,2070,4,1,"Other family household: Male householder, no spouse present"
100,2,10-19 Apartments,2070,4,1,"Other family household: Male householder, no spouse present"
11,3,One-family house attached,1450,3,1,"Other family household: Female householder, no spouse present"
11,3,One-family house attached,1450,3,1,"Other family household: Female householder, no spouse present"
11,3,One-family house attached,1450,3,1,"Other family household: Female householder, no spouse present"
100,1,5-9 Apartments,1750,1,1,Nonfamily household: Female householder: Living alone
100,1,5-9 Apartments,2470,1,2,Nonfamily household: Female householder: Living alone
100,3,3-4 Apartments,2590,3,7,"Other family household: Female householder, no spouse present"
100,3,3-4 Apartments,2590,3,7,"Other family household: Female householder, no spouse present"
100,3,3-4 Apartments,2590,3,7,"Other family household: Female householder, no spouse present"
63,1,10-19 Apartments,780,1,25,Nonfamily household: Male householder: Living alone
43,1,3-4 Apartments,390,2,15,Married couple household
43,1,3-4 Apartments,390,2,15,Married couple household
73,3,3-4 Apartments,1000,2,25,Married couple household
73,3,3-4 Apartments,1000,2,25,Married couple household
100,4,One-family house detached,2400,7,7,Married couple household
100,4,One-family house detached,2400,7,7,Married couple household
100,4,One-family house detached,2400,7,7,Married couple household
100,4,One-family house detached,2400,7,7,Married couple household
100,4,One-family house detached,2400,7,7,Married couple household
100,4,One-family house detached,2400,7,7,Married couple household
100,4,One-family house detached,2400,7,7,Married couple household
63,1,10-19 Apartments,1320,1,25,Nonfamily household: Female householder: Living alone
100,2,5-9 Apartments,1130,1,7,Nonfamily household: Male householder: Living alone
100,3,3-4 Apartments,1800,4,7,Married couple household
100,3,3-4 Apartments,1800,4,7,Married couple household
100,3,3-4 Apartments,1800,4,7,Married couple household
100,3,3-4 Apartments,1800,4,7,Married couple household
100,2,2 Apartments,1730,2,15,Married couple household
100,2,2 Apartments,1730,2,15,Married couple household
100,2,2 Apartments,1820,2,3,Married couple household
100,2,2 Apartments,1820,2,3,Married couple household
23,2,50 or more apartments,2550,4,1,Married couple household
23,2,50 or more apartments,2550,4,1,Married couple household
23,2,50 or more apartments,2550,4,1,Married couple household
23,2,50 or more apartments,2550,4,1,Married couple household
100,2,3-4 Apartments,2400,4,3,Married couple household
100,2,3-4 Apartments,2400,4,3,Married couple household
100,2,3-4 Apartments,2400,4,3,Married couple household
100,2,3-4 Apartments,2400,4,3,Married couple household
43,3,2 Apartments,910,2,3,Nonfamily household: Male householder: Not living alone
43,3,2 Apartments,910,2,3,Nonfamily household: Male householder: Not living alone
63,1,3-4 Apartments,732,3,3,Nonfamily household: Male householder: Not living alone
63,1,3-4 Apartments,732,3,3,Nonfamily household: Male householder: Not living alone
63,1,3-4 Apartments,732,3,3,Nonfamily household: Male householder: Not living alone
100,3,3-4 Apartments,2530,3,3,Nonfamily household: Female householder: Not living alone
100,3,3-4 Apartments,2530,3,3,Nonfamily household: Female householder: Not living alone
100,3,3-4 Apartments,2530,3,3,Nonfamily household: Female householder: Not living alone
23,1,10-19 Apartments,1260,1,15,Nonfamily household: Male householder: Living alone
43,1,50 or more apartments,2960,2,2,Nonfamily household: Female householder: Not living alone
43,1,50 or more apartments,2960,2,2,Nonfamily household: Female householder: Not living alone
100,1,50 or more apartments,2960,2,7,Married couple household
100,1,50 or more apartments,2960,2,7,Married couple household
100,3,One-family house attached,2170,4,3,Married couple household
100,3,One-family house attached,2170,4,3,Married couple household
100,3,One-family house attached,2170,4,3,Married couple household
100,3,One-family house attached,2170,4,3,Married couple household
43,2,10-19 Apartments,1060,2,3,Married couple household
43,2,10-19 Apartments,1060,2,3,Married couple household
53,1,20-49 Apartments,380,1,7,Nonfamily household: Male householder: Living alone
16,2,10-19 Apartments,2363,1,1,Nonfamily household: Female householder: Living alone
15,4,5-9 Apartments,1300,3,1,Nonfamily household: Male householder: Not living alone
15,4,5-9 Apartments,1300,3,1,Nonfamily household: Male householder: Not living alone
15,4,5-9 Apartments,1300,3,1,Nonfamily household: Male householder: Not living alone
53,4,3-4 Apartments,1780,3,25,Married couple household
53,4,3-4 Apartments,1780,3,25,Married couple household
53,4,3-4 Apartments,1780,3,25,Married couple household
100,3,One-family house attached,2083,3,7,Nonfamily household: Male householder: Not living alone
100,3,One-family house attached,2083,3,7,Nonfamily household: Male householder: Not living alone
100,3,One-family house attached,2083,3,7,Nonfamily household: Male householder: Not living alone
53,2,2 Apartments,2020,2,2,"Other family household: Male householder, no spouse present"
53,2,2 Apartments,2020,2,2,"Other family household: Male householder, no spouse present"
4,2,50 or more apartments,2670,2,1,Married couple household
4,2,50 or more apartments,2670,2,1,Married couple household
100,0,20-49 Apartments,550,1,3,Nonfamily household: Male householder: Living alone
100,2,10-19 Apartments,1500,1,3,Nonfamily household: Male householder: Living alone
53,0,5-9 Apartments,430,1,7,Nonfamily household: Male householder: Living alone
33,1,50 or more apartments,400,1,15,Nonfamily household: Female householder: Living alone
63,2,One-family house detached,1350,1,7,Nonfamily household: Male householder: Living alone
100,2,3-4 Apartments,560,1,3,Nonfamily household: Male householder: Living alone
100,1,3-4 Apartments,1900,2,3,Married couple household
100,1,3-4 Apartments,1900,2,3,Married couple household
63,2,One-family house detached,1062,1,15,Nonfamily household: Male householder: Living alone
100,3,3-4 Apartments,1510,5,1,"Other family household: Female householder, no spouse present"
100,3,3-4 Apartments,1510,5,1,"Other family household: Female householder, no spouse present"
100,3,3-4 Apartments,1510,5,1,"Other family household: Female householder, no spouse present"
100,3,3-4 Apartments,1510,5,1,"Other family household: Female householder, no spouse present"
100,3,3-4 Apartments,1510,5,1,"Other family household: Female householder, no spouse present"
100,1,2 Apartments,1115,2,3,Nonfamily household: Male householder: Not living alone
100,1,2 Apartments,1115,2,3,Nonfamily household: Male householder: Not living alone
33,1,5-9 Apartments,540,1,3,Nonfamily household: Female householder: Living alone
53,1,10-19 Apartments,320,1,30,Nonfamily household: Female householder: Living alone
43,2,50 or more apartments,2050,4,3,Married couple household
43,2,50 or more apartments,2050,4,3,Married couple household
43,2,50 or more apartments,2050,4,3,Married couple household
43,2,50 or more apartments,2050,4,3,Married couple household
43,1,5-9 Apartments,270,1,15,Nonfamily household: Female householder: Living alone
53,1,20-49 Apartments,1350,1,7,Nonfamily household: Male householder: Living alone
53,2,5-9 Apartments,1100,2,2,"Other family household: Male householder, no spouse present"
53,2,5-9 Apartments,1100,2,2,"Other family household: Male householder, no spouse present"
100,1,50 or more apartments,360,1,7,Nonfamily household: Male householder: Living alone
100,1,5-9 Apartments,850,3,3,"Other family household: Male householder, no spouse present"
100,1,5-9 Apartments,850,3,3,"Other family household: Male householder, no spouse present"
100,1,5-9 Apartments,850,3,3,"Other family household: Male householder, no spouse present"
100,3,3-4 Apartments,1220,2,1,Nonfamily household: Female householder: Not living alone
100,3,3-4 Apartments,1220,2,1,Nonfamily household: Female householder: Not living alone
43,1,10-19 Apartments,1410,1,2,Nonfamily household: Male householder: Living alone
100,2,2 Apartments,1700,3,15,"Other family household: Female householder, no spouse present"
100,2,2 Apartments,1700,3,15,"Other family household: Female householder, no spouse present"
100,2,2 Apartments,1700,3,15,"Other family household: Female householder, no spouse present"
100,2,10-19 Apartments,650,1,7,Nonfamily household: Female householder: Living alone
63,1,3-4 Apartments,2000,1,3,Nonfamily household: Female householder: Living alone
73,2,5-9 Apartments,3030,2,1,Nonfamily household: Male householder: Not living alone
73,2,5-9 Apartments,3030,2,1,Nonfamily household: Male householder: Not living alone
14,1,50 or more apartments,3700,1,15,Nonfamily household: Male householder: Living alone
63,4,One-family house detached,2422,1,30,Nonfamily household: Female householder: Living alone
53,2,One-family house attached,1570,1,7,Nonfamily household: Female householder: Living alone
100,4,One-family house detached,1350,2,3,Nonfamily household: Female householder: Not living alone
100,4,One-family house detached,1350,2,3,Nonfamily household: Female householder: Not living alone
73,3,2 Apartments,900,2,1,"Other family household: Female householder, no spouse present"
73,3,2 Apartments,900,2,1,"Other family household: Female householder, no spouse present"
63,1,3-4 Apartments,460,1,15,Nonfamily household: Male householder: Living alone
63,1,3-4 Apartments,720,2,3,Nonfamily household: Female householder: Not living alone
63,1,3-4 Apartments,720,2,3,Nonfamily household: Female householder: Not living alone
100,1,3-4 Apartments,1500,2,2,Married couple household
100,1,3-4 Apartments,1500,2,2,Married couple household
23,1,5-9 Apartments,1120,1,1,Nonfamily household: Male householder: Living alone
43,3,One-family house attached,3980,5,2,Married couple household
43,3,One-family house attached,3980,5,2,Married couple household
43,3,One-family house attached,3980,5,2,Married couple household
43,3,One-family house attached,3980,5,2,Married couple household
43,3,One-family house attached,3980,5,2,Married couple household
43,1,50 or more apartments,240,1,7,Nonfamily household: Female householder: Living alone
100,3,2 Apartments,1854,3,3,"Other family household: Female householder, no spouse present"
100,3,2 Apartments,1854,3,3,"Other family household: Female householder, no spouse present"
100,3,2 Apartments,1854,3,3,"Other family household: Female householder, no spouse present"
